VTD_ID,total_pop,pop_density,prop_white,prop_Black,prop_Hispanic,prop_AIA,prop_Asian,prop_married,prop_nonfamily,prop_family_nonmarried,prop_hs_diploma,prop_some_college,prop_bachelors,prop_higher,prop_under_hs,prop_under_30k,prop_30_to_50k,prop_50_to_100k,prop_more_than_100k,D_pct_vote,Weighted_ideology
26151151022,483.7041736,1.72E-05,0.930201621,0,0.050806841,0.031409082,0.001460888,0.565686052,0.290089553,0.144224395,0,0.126219482,0.044497616,0.021793725,0.807489177,0.296657268,0.160209861,0.414507382,0.128625489,0.195121951,-0.337478049
26163163030,2899.561517,0.004460656,0.653563055,0.074683478,0.041878538,0.004231533,0.216074628,0.607641864,0.241956811,0.150401325,0.004524126,0.116954682,0.292824531,0.167333328,0.418363334,0.149599648,0.122251422,0.317101154,0.411047775,0.611857708,-0.465209684
26163163031,5254.810034,0.000799091,0.670695693,0.12074281,0.046099345,0.012645694,0.141916092,0.553074558,0.287748983,0.159176459,0,0.172891045,0.220308198,0.127080981,0.479719775,0.154061181,0.230009991,0.306935301,0.308993527,0.584653878,-0.402978732
26163163032,3096.781567,0.00216088,0.605904391,0.234606452,0.015978027,0.010987644,0.092453852,0.373563378,0.424942696,0.201493927,0,0.131054939,0.178735767,0.07178461,0.618424684,0.27425798,0.218370509,0.315825141,0.191546371,0.625730994,-0.510145363
26163163033,2294.297477,0.003159562,0.822459993,0.0612589,0.031985673,0,0.082007232,0.6582436,0.209567518,0.132188882,0,0.178111567,0.281829307,0.156244972,0.383814153,0.075174819,0.115273843,0.481696667,0.327854671,0.529931305,-0.268361138
26163163034,2664.572173,0.004154222,0.602653385,0.125982742,0.007505899,1.43E-08,0.26543314,0.594688525,0.242661746,0.16264973,0,0.117811301,0.258847133,0.186356913,0.436984653,0.096218137,0.137816654,0.296364064,0.469601145,0.634789777,-0.516560594
26163163035,1200.230376,0.005473206,0.533401488,0.069781182,0.036580578,0.001192879,0.356857017,0.772341917,0.160468991,0.067189091,0,0.076561234,0.347884323,0.365681912,0.209872532,0.052184785,0.090671316,0.15003234,0.707111559,0.704866562,-0.694233516
26163163036,2755.000936,0.004339105,0.810023046,0.055331616,0.015093368,0.017188605,0.089119067,0.65708449,0.143615704,0.199299806,0,0.161328838,0.280523403,0.204714745,0.353433014,0.153015764,0.048119837,0.275236713,0.523627686,0.54387292,-0.306208964
26163163037,2048.295296,0.001011334,0.826660035,0.010196469,0.009947774,0,0.153195722,0.792496172,0.097243492,0.110260337,0,0.075384615,0.365384615,0.297692308,0.261538462,0.067381317,0.033690658,0.142419602,0.756508423,0.513212796,-0.225791898
26163163038,3147.48021,0.003816597,0.577905623,0.10683925,0.03814285,0.004719925,0.247312917,0.515512491,0.353605125,0.130882384,0,0.147413915,0.241209156,0.163016706,0.448360223,0.144812732,0.181155361,0.356421783,0.317610124,0.609625668,-0.469584225
